,Host,8/11,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,?,? Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,,? Last 30,-1 Month ?,-2 Month ?,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,,Est Rev,Days Month,Hours Month,Rewards Month,Link
88,7467672490148659216,carbonfibre.duke,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,2,6,1,"100,000","99,998",Down,1,,2,10,0,-1,-1,-3,0,0,0,-,0,,?0.01,8,20,0,https://www.tiktok.com/@carbonfibre.duke
141,7424455425950793729,danhorton960,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,8,1,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@danhorton960
174,7494237972632551425,marky_ttr,GO,-1,,@thundermega47,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,6,7,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@marky_ttr
63,7664753799357169681,user75874533,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,1,15,14,24,68,1,"100,000","99,976",Down,1,,30,6,,-1,,-3,0,0,0,-,0,,?0.08,8,20,0,https://www.tiktok.com/@user75874533
143,7486636093568188417,dannybastable,GO,-1,,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,4,4,33,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@dannybastable
86,7594117292531826705,cherrydietcoke02,GO,-1,,,,Eliza,1,Y,1.00,1,13%,7,6,4,15,11,3,8,1,"100,000","99,997",Down,1,,7,4,0,-1,-1,-3,0,0,0,-,0,,?0.01,8,20,0,https://www.tiktok.com/@cherrydietcoke02
144,7468418987521769489,kairichardson,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,1,4,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@kairichardson
145,7536956005125472273,brandonfletchermusic,GO,-1,,,,Stian,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,3,3,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@brandonfletchermusic
146,7466130610474663953,dominob2k3official,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,3,1,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@dominob2k3official
147,7448553021497360400,sera_wynn,GO,-1,,@squish840787,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,3,42,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@sera_wynn
148,7506233568432177153,busdude1997,GO,-1,,@matmoo21,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,3,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@busdude1997
149,7663144695585046546,daniellestockton2,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,3,3,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@daniellestockton2
100,7453824472156782593,reanashaa,GO,-1,,,,Ruta,0,Y,1.00,0,0%,7,7,0,15,15,1,3,1,"100,000","99,999",Down,1,,3,2,"1,167",-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@reanashaa
71,7666040243639844884,a_se7282,GO,-1,2,,,,5,Y,1.00,0,0%,7,7,0,15,15,11,31,1,"100,000","99,989",Down,1,,13,2,,-1,,-3,0,0,0,-,0,,?0.04,8,20,0,https://www.tiktok.com/@a_se7282
150,7423054473775316993,onitriaz,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,1,20,-1,1,0,"1,000",0,"1,000",-,0,,?0.00,8,20,0,https://www.tiktok.com/@onitriaz
184,7391802279017332752,shelleofficial1,GO,-1,,@shelle__music,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,1,1,2,-1,-1,-3,"2,000",0,"2,000",-,0,,?0.00,8,20,0,https://www.tiktok.com/@shelleofficial1
152,7491030163065405457,dianamariemummaof3,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,1,4,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@dianamariemummaof3
153,7548763772069003280,kingqueenkemitv,GO,-1,,@kingqueenkemi,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,1,6,-1,-1,-3,500,0,500,-,0,,?0.00,8,20,0,https://www.tiktok.com/@kingqueenkemitv
56,7455692449789558800,nickthedecorator,GO,-1,,,,Eliza,56,Y,1.00,0,0%,7,7,1,15,14,51,144,1,"100,000","99,949",Down,1,,51,1,1,-1,-1,-3,"5,000",0,"5,000",-,0,,?0.17,8,20,0,https://www.tiktok.com/@nickthedecorator
154,7553587368931065873,melwesty,GO,-1,,,,Eliza,8,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,1,15,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@melwesty
155,7468347099382579217,miss_leigh_ding,GO,-1,,@miss.leigh.ding,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,1,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@miss_leigh_ding
156,7408848025604489232,thegreyeyecastle,GO,-1,,@fredrick0981,,Eliza,2,Y,1.00,0,0%,7,7,1,15,14,0,0,1,"100,000","100,000",Down,1,,1,1,1,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@thegreyeyecastle
62,7511373604722851856,itsprismatical,GO,-1,,,,Eliza,23,Y,1.00,2,26%,7,5,3,15,12,26,73,1,"100,000","99,974",Down,1,,27,1,2,-1,-1,-3,0,0,0,-,0,,?0.09,8,20,0,https://www.tiktok.com/@itsprismatical
157,7662468887098753041,mimis.art.designs,GO,-1,2,@mimi0385,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,1,1,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@mimis.art.designs
89,7661774337783152647,path3tic.beth,GO,-1,2,,,,1,Y,1.00,0,0%,7,7,1,15,14,2,6,1,"100,000","99,998",Down,1,,3,1,,-1,,-3,0,0,0,-,0,,?0.01,8,20,0,https://www.tiktok.com/@path3tic.beth
158,7663265306210549776,zuxoliveacc,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,1,1,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@zuxoliveacc
159,7662894980599578640,fynleegmer,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,1,1,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@fynleegmer
160,7664899211481350164,oneofusiscrocheting,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,1,1,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@oneofusiscrocheting
101,7667856906786062344,brookhaventok2,GO,-1,2,@danny_26real,,,3,Y,1.00,1,13%,7,6,1,15,14,1,3,1,"100,000","99,999",Down,1,,2,1,,3,,6,0,0,0,-,0,,?0.00,18,60,0,https://www.tiktok.com/@brookhaventok2
161,7493920503741284369,shelby.d3st1ny,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,"4,906",-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@shelby.d3st1ny
162,7386542166048260112,call_itmusic,GO,-1,,@call_itmusic,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,"1,317",-1,-1,-3,"3,500",0,"3,500",-,0,,?0.00,8,20,0,https://www.tiktok.com/@call_itmusic
163,7451058922187669505,dylanrhyswalsh,GO,-1,,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,45,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@dylanrhyswalsh
26,7556663150247051265,eviejones3,GO,-1,,,,Eliza,10,Y,1.00,0,0%,7,7,0,15,15,599,"1,688",1,"100,000","99,401",Down,1,,599,0,25,-1,-1,-3,0,0,0,-,0,,?2.02,8,20,0,https://www.tiktok.com/@eviejones3
164,7473114416809050128,allhailsarah,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,7,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@allhailsarah
214,7539187112411725841,olivercordingley,GO,-1,,@olivercordingley,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,6,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@olivercordingley
166,7393779588561747985,a.dingles.story,GO,-1,,@adinglesstory,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,8,-1,-1,-3,"240,000",0,"101,802",-,0,,?0.00,8,20,0,https://www.tiktok.com/@a.dingles.story
167,7485426339571400720,tashafultonnnnn,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,11,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@tashafultonnnnn
36,7466008135627587600,juttbrothers.co,GO,-1,,,,LA,2,Y,1.00,4,51%,7,3,12,15,3,362,"1,020",1,"100,000","99,638",Down,1,,362,0,5,-1,1,0,0,0,0,-,0,,?1.22,8,20,0,https://www.tiktok.com/@juttbrothers.co
168,7563657409001062416,justpamellaxo,GO,-1,,@justpamella27,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,38,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@justpamellaxo
90,7574405883812380688,marriedmrsrichards,GO,-1,,@helsvamp,,Eliza,0,Y,1.00,1,13%,7,6,1,15,14,2,6,1,"100,000","99,998",Down,1,,2,0,1,-1,-1,-3,0,0,0,-,0,,?0.01,8,20,0,https://www.tiktok.com/@marriedmrsrichards
169,7417432222963187728,sleepyjam14,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@sleepyjam14
170,7599036603755134993,joefranco746,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@joefranco746
171,7484227171913859088,adhdromainsounds,GO,-1,,@adhdromainsounds,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,7,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@adhdromainsounds
172,7457198766941077521,sugarrushsprinkle,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,6,-1,-1,-3,"9,500",0,"9,500",-,0,,?0.00,8,20,0,https://www.tiktok.com/@sugarrushsprinkle
173,7502051454908203009,sargonapparel,GO,-1,,@sparkygodcr,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@sargonapparel
174,7477537828491247632,xiro_will_become_famous,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@xiro_will_become_famous
175,7470482714571882513,sophieullyart,GO,-1,,,,LA,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@sophieullyart
176,7545536910274576401,nainzjunior,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,3,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@nainzjunior
177,7417178442334191633,dailysleen,GO,-1,,,,Ruta,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@dailysleen
178,7449441407359647745,the.twisted.muse,GO,-1,,,,LA,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@the.twisted.muse
179,7448691249156145153,xxxxxholliemaexxxxx,GO,-1,,,,LA,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@xxxxxholliemaexxxxx
180,7528159887386509313,ren.shelter,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@ren.shelter
181,7527366978319728641,skyelou19,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@skyelou19
182,7428514488120557585,amzyisthelordsown,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@amzyisthelordsown
183,7570774000566026241,OFF,GO,-1,,,,Eliza,,Y,1.00,,0%,7,7,0,15,15,0,0,1,,,#N/A,,,0,0,6,-1,-1,,0,0,0,#N/A,,,?0.00,8,20,0,https://www.tiktok.com/@OFF
91,7491010481055072273,shaunharuk,GO,-1,,@boxerbeat6783,,LA,0,Y,1.00,0,0%,7,7,1,15,14,2,6,1,"100,000","99,998",Down,1,,2,0,39,-1,-1,-3,0,0,0,-,0,,?0.01,8,20,0,https://www.tiktok.com/@shaunharuk
184,7402656225546256400,bethanyyxx1,GO,-1,,@bethanyyyy0503,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,"18,000",0,"18,000",-,0,,?0.00,8,20,0,https://www.tiktok.com/@bethanyyxx1
185,7480302651985559553,lavinia17x,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,530,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@lavinia17x
186,7514082817203044369,queenhyiah,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@queenhyiah
187,7475469947607580673,sophieliveseyy,GO,-1,,,,LA,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@sophieliveseyy
188,7566355620954259457,furryrolvo01,GO,-1,,@furry_rolvo,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,98,-1,-1,-3,"1,000",0,"1,000",-,0,,?0.00,8,20,0,https://www.tiktok.com/@furryrolvo01
189,7592633401816055809,OFF,GO,-1,,@ifylove_25697,,Eliza,,N,1.00,,0%,7,7,0,15,15,0,0,1,,,#N/A,,,0,0,0,-1,-1,,0,0,0,#N/A,,,?0.00,8,20,0,https://www.tiktok.com/@OFF
87,7460168652885835777,jayjay224229,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,3,8,1,"100,000","99,997",Down,1,,3,0,10,-1,-1,-3,0,0,0,-,0,,?0.01,8,20,0,https://www.tiktok.com/@jayjay224229
190,7577150753148665872,unknown779010,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@unknown779010
191,7425921334225436673,dannystobo,GO,-1,,@dannystobo,,Ruta,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,"38,000",0,"24,000",-,0,,?0.00,8,20,0,https://www.tiktok.com/@dannystobo
192,7473480041288974352,emma.kate36,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@emma.kate36
193,7447524120843010064,abstwck,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@abstwck
194,7428877005443153936,teaser.cos,GO,-1,,@teaser.cos,,LA,1,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@teaser.cos
92,7593357198978236432,harry_mortgage_adviser,GO,-1,,,,Eliza,30,Y,1.00,0,0%,7,7,2,15,13,2,6,1,"100,000","99,998",Down,1,,2,0,6,-1,-1,-3,0,0,0,-,0,,?0.01,8,20,0,https://www.tiktok.com/@harry_mortgage_adviser
195,7556371649344323601,gulabo1127,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@gulabo1127
196,7503885234585337872,sophieferiani,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@sophieferiani
197,7553605391222046737,darlington_live,GO,-1,,@darlington_live_03262,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@darlington_live
198,7442328318726291472,layla.southouse,GO,-1,,,,Ruta,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@layla.southouse
199,7476484646549585921,kacy_bell,GO,-1,,,,LA,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@kacy_bell
200,7425948630030385169,cptnmels,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@cptnmels
81,7478721150844059649,lozzap1230,GO,-1,,,,LA,2,Y,1.00,2,26%,7,5,3,15,12,5,14,1,"100,000","99,995",Down,1,,5,0,117,-1,-1,-3,0,0,0,-,0,,?0.02,8,20,0,https://www.tiktok.com/@lozzap1230
201,7561125988000776209,stefanisweethart,GO,-1,,@stefaniroseofficial,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@stefanisweethart
202,7409752177004036113,_rachelcolton,GO,-1,,@findingrache1,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,"32,000",0,"24,000",-,0,,?0.00,8,20,0,https://www.tiktok.com/@_rachelcolton
203,7551850429613817873,finalclash3161,GO,-1,,@finalclash3161,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@finalclash3161
204,7567315677682417681,l0la.ugc,GO,-1,,@l0laugc,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@l0la.ugc
59,7538398513735139344,princ3tonx,GO,-1,,@iamprinceton,,Eliza,1,Y,1.00,2,26%,7,5,7,15,8,41,116,1,"100,000","99,959",Down,1,,41,0,15,-1,-1,-3,0,0,0,-,0,,?0.14,8,20,0,https://www.tiktok.com/@princ3tonx
29,7498730913577205761,ibz.2.0,GO,-1,,,,Eliza,52,Y,1.00,1,13%,7,6,2,15,13,507,"1,429",1,"100,000","99,493",Down,1,,507,0,0,-1,-1,-3,0,0,0,-,0,,?1.71,8,20,0,https://www.tiktok.com/@ibz.2.0
205,7527366978319794177,aliceorlik,GO,-1,,@aliceorlik,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@aliceorlik
206,7469080134004277265,aneelmusic,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@aneelmusic
207,7368785047207297041,mrsscarphace,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@mrsscarphace
208,7488685963074551824,impinkiexpink,GO,-1,,@queen.pinkie,,LA,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@impinkiexpink
61,7564511124448821249,i.ff.y,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,32,90,1,"100,000","99,968",Down,1,,32,0,0,-1,-1,-3,0,0,0,-,0,,?0.11,8,20,0,https://www.tiktok.com/@i.ff.y
209,7535580367592603649,fee_unique,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@fee_unique
210,7550323329664581633,naomimarie20001,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@naomimarie20001
211,7378871247721250833,epicplaysgtytt,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@epicplaysgtytt
43,7422607140935958545,pixiefolds,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,199,561,1,"100,000","99,801",Down,1,,199,0,0,-1,-1,-3,0,0,0,-,0,,?0.67,8,20,0,https://www.tiktok.com/@pixiefolds
212,7530326141916217361,summermcgreavy21,GO,-1,,@summer21,,LA,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@summermcgreavy21
213,7484287482352418833,enforcerrr_,GO,-1,,@dark.enforcer,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@enforcerrr_
37,7400684526520827921,georgie043,GO,-1,,@georgie043,,Eliza,46,Y,1.00,1,13%,7,6,1,15,14,290,817,1,"100,000","99,710",Down,1,,290,0,0,-1,-1,-3,"1,500",0,"1,500",-,0,,?0.98,8,20,0,https://www.tiktok.com/@georgie043
214,7428124624082206736,socillaa,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@socillaa
286,7438337214876188673,mark.maxwell_,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@mark.maxwell_
216,7568995783140491281,that_kerryberry,GO,-1,,@freverindahouse,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@that_kerryberry
217,7526953878961733649,levm__1,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@levm__1
66,7406067026885607425,elliecheesmanx,GO,-1,,,,Eliza,2,Y,1.00,0,0%,7,7,1,15,14,19,54,1,"100,000","99,981",Down,1,,19,0,0,-1,-1,-3,0,0,0,-,0,,?0.06,8,20,0,https://www.tiktok.com/@elliecheesmanx
218,7410046110045290497,niyaneeporter,GO,-1,,@niyanee,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,"6,000",0,"6,000",-,0,,?0.00,8,20,0,https://www.tiktok.com/@niyaneeporter
219,7423723599179087889,metalheadjames2005,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@metalheadjames2005
220,7522845711688417296,sophie_mu5ic,GO,-1,,,,Eliza,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@sophie_mu5ic
